date,user_id,plan,mrr,status,country,signup_date
2025-10-03,u0423,free,0,active,USA,2025-10-03
2025-10-04,u0423,free,0,active,USA,2025-10-03
2025-10-05,u0108,pro,29,active,Japan,2025-10-05
2025-10-05,u0265,free,0,active,Japan,2025-10-05
2025-10-05,u0342,pro,29,active,USA,2025-10-05
2025-10-05,u0423,free,0,active,USA,2025-10-03
2025-10-05,u0487,pro,29,active,Germany,2025-10-05
2025-10-06,u0108,pro,29,active,Japan,2025-10-05
2025-10-06,u0120,free,0,active,UK,2025-10-06
2025-10-06,u0265,free,0,active,Japan,2025-10-05
2025-10-06,u0342,pro,29,active,USA,2025-10-05
2025-10-06,u0423,free,0,active,USA,2025-10-03
2025-10-06,u0487,pro,29,active,Germany,2025-10-05
2025-10-07,u0047,free,0,active,USA,2025-10-07
2025-10-07,u0108,pro,29,active,Japan,2025-10-05
2025-10-07,u0120,free,0,active,UK,2025-10-06
2025-10-07,u0265,free,0,active,Japan,2025-10-05
2025-10-07,u0342,pro,29,active,USA,2025-10-05
2025-10-07,u0423,free,0,active,USA,2025-10-03
2025-10-07,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-07,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-08,u0021,pro,29,active,UK,2025-10-08
2025-10-08,u0047,free,0,active,USA,2025-10-07
2025-10-08,u0082,free,0,active,France,2025-10-08
2025-10-08,u0094,free,0,active,USA,2025-10-08
2025-10-08,u0108,pro,29,active,Japan,2025-10-05
2025-10-08,u0120,free,0,active,UK,2025-10-06
2025-10-08,u0265,free,0,active,Japan,2025-10-05
2025-10-08,u0299,free,0,active,USA,2025-10-08
2025-10-08,u0342,pro,29,active,USA,2025-10-05
2025-10-08,u0389,pro,29,active,France,2025-10-08
2025-10-08,u0423,free,0,active,USA,2025-10-03
2025-10-08,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-08,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-09,u0021,pro,29,active,UK,2025-10-08
2025-10-09,u0047,free,0,active,USA,2025-10-07
2025-10-09,u0077,free,0,active,USA,2025-10-09
2025-10-09,u0082,free,0,active,France,2025-10-08
2025-10-09,u0094,free,0,active,USA,2025-10-08
2025-10-09,u0104,free,0,trial,Spain,2025-10-09
2025-10-09,u0108,pro,29,active,Japan,2025-10-05
2025-10-09,u0120,free,0,active,UK,2025-10-06
2025-10-09,u0265,free,0,active,Japan,2025-10-05
2025-10-09,u0291,free,0,active,Spain,2025-10-09
2025-10-09,u0299,free,0,active,USA,2025-10-08
2025-10-09,u0338,free,0,active,USA,2025-10-09
2025-10-09,u0342,pro,29,active,USA,2025-10-05
2025-10-09,u0376,pro,29,active,USA,2025-10-09
2025-10-09,u0389,pro,29,active,France,2025-10-08
2025-10-09,u0423,free,0,active,USA,2025-10-03
2025-10-09,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-09,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-10,u0021,pro,29,active,UK,2025-10-08
2025-10-10,u0047,free,0,active,USA,2025-10-07
2025-10-10,u0077,free,0,active,USA,2025-10-09
2025-10-10,u0082,free,0,active,France,2025-10-08
2025-10-10,u0094,free,0,active,USA,2025-10-08
2025-10-10,u0104,free,0,trial,Spain,2025-10-09
2025-10-10,u0108,pro,29,active,Japan,2025-10-05
2025-10-10,u0120,free,0,active,UK,2025-10-06
2025-10-10,u0213,free,0,active,USA,2025-10-10
2025-10-10,u0245,free,0,active,UK,2025-10-10
2025-10-10,u0265,free,0,active,Japan,2025-10-05
2025-10-10,u0291,free,0,active,Spain,2025-10-09
2025-10-10,u0299,free,0,active,USA,2025-10-08
2025-10-10,u0338,free,0,active,USA,2025-10-09
2025-10-10,u0342,pro,29,active,USA,2025-10-05
2025-10-10,u0376,pro,29,active,USA,2025-10-09
2025-10-10,u0389,pro,29,active,France,2025-10-08
2025-10-10,u0423,free,0,active,USA,2025-10-03
2025-10-10,u0447,enterprise,299,active,Mexico,2025-10-07
2025-10-10,u0487,enterprise,299,active,Germany,2025-10-05
2025-10-11,u0021,pro,29,active,UK,2025-10-08
2025-10-11,u0047,free,0,active,USA,2025-10-07
2025-10-11,u0077,free,0,active,USA,2025-10-09
2025-10-11,u0082,free,0,active,France,2025-10-08
2025-10-11,u0087,free,0,active,USA,2025-10-11
2025-10-11,u0094,free,0,active,USA,2025-10-08
2025-10-11,u0104,free,0,trial,Spain,2025-10-09
2025-10-11,u0108,pro,29,active,Japan,2025-10-05
