cobertura_tech,n_techs_match,diff_nivel,diff_anos,tiene_cloud_si_pide,falta_cloud,tiene_docker_si_pide,falta_docker,tiene_sql_si_pide,falta_sql,ingles_ok,llm_match,n_proyectos,anos_experiencia,score_claude,candidato_json,oferta_json
0.25,1,2,6.1,0,0,0,0,1,0,1,1,10,6.7,78,"{""nivel"": ""senior"", ""anos_experiencia"": 6.7, ""stack"": [""pgvector"", ""LangGraph"", ""Langfuse"", ""Kubernetes"", ""FastAPI"", ""Matplotlib"", ""AWS S3""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 10, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.6, ""tecnologias_requeridas"": [""Kubernetes"", ""AutoGen"", ""Docker"", ""SQLAlchemy""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": true, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""healthtech"", ""remoto"": true}"
0.333,1,2,8.5,0,0,0,0,0,0,1,0,6,8.5,42,"{""nivel"": ""senior"", ""anos_experiencia"": 8.5, ""stack"": [""Langfuse"", ""Docker"", ""Django"", ""Kubernetes"", ""SQLAlchemy"", ""Azure App Service"", ""AWS S3""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": false, ""ingles_nivel"": ""ninguno"", ""n_proyectos_produccion"": 6, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.0, ""tecnologias_requeridas"": [""FastAPI"", ""AutoGen"", ""Docker""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""startup"", ""remoto"": true}"
0.2,2,-2,-5.2,1,0,0,0,0,0,1,0,2,1.0,15,"{""nivel"": ""junior"", ""anos_experiencia"": 1.0, ""stack"": [""Langfuse"", ""CrewAI"", ""SQLAlchemy"", ""HuggingFace"", ""AWS Lambda"", ""Azure App Service""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 2, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""senior"", ""anos_experiencia_min"": 6.2, ""tecnologias_requeridas"": [""RAG"", ""ChromaDB"", ""Langfuse"", ""FastAPI"", ""Django"", ""PostgreSQL"", ""pgvector"", ""Redis"", ""MongoDB"", ""CrewAI""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""ecommerce"", ""remoto"": false}"
0.4,2,-1,-1.9,0,1,0,0,1,0,1,0,3,0.4,28,"{""nivel"": ""junior"", ""anos_experiencia"": 0.4, ""stack"": [""CrewAI"", ""Langfuse"", ""ChromaDB"", ""Celery"", ""Kubernetes"", ""PostgreSQL"", ""Flask"", ""XGBoost"", ""HuggingFace"", ""sklearn""], ""tiene_cloud"": false, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 3, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 2.3, ""tecnologias_requeridas"": [""Haystack"", ""MongoDB"", ""CrewAI"", ""Redis"", ""PostgreSQL""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""fintech"", ""remoto"": true}"
0.667,2,1,1.2,0,1,1,0,0,1,1,0,8,2.1,62,"{""nivel"": ""mid"", ""anos_experiencia"": 2.1, ""stack"": [""LlamaIndex"", ""AutoGen"", ""pgvector"", ""RAG"", ""Django"", ""MongoDB"", ""Kubernetes"", ""NumPy""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": false, ""ingles_nivel"": ""intermedio"", ""n_proyectos_produccion"": 8, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.9, ""tecnologias_requeridas"": [""FastAPI"", ""RAG"", ""Django""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""startup"", ""remoto"": false}"
0.167,1,1,3.1,0,0,0,0,0,0,1,1,4,3.3,72,"{""nivel"": ""mid"", ""anos_experiencia"": 3.3, ""stack"": [""LangGraph"", ""CrewAI"", ""Haystack"", ""Flask"", ""MongoDB"", ""HuggingFace"", ""XGBoost"", ""AWS Lambda""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""intermedio"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.2, ""tecnologias_requeridas"": [""RAG"", ""Haystack"", ""pgvector"", ""PostgreSQL"", ""Langfuse"", ""Celery""], ""pide_cloud"": false, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""edtech"", ""remoto"": false}"
0.2,2,-1,-0.5,0,1,0,0,0,0,1,1,4,1.1,35,"{""nivel"": ""junior"", ""anos_experiencia"": 1.1, ""stack"": [""Langfuse"", ""Haystack"", ""RAG"", ""Flask"", ""Matplotlib"", ""PyTorch"", ""Pandas""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 4, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 1.6, ""tecnologias_requeridas"": [""PostgreSQL"", ""Flask"", ""Redis"", ""LlamaIndex"", ""FastAPI"", ""Django"", ""CrewAI"", ""AutoGen"", ""LangGraph"", ""RAG""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""consultor\u00eda"", ""remoto"": true}"
0.333,2,0,1.5,1,0,1,0,1,0,1,0,7,3.6,62,"{""nivel"": ""mid"", ""anos_experiencia"": 3.6, ""stack"": [""AutoGen"", ""LlamaIndex"", ""MongoDB"", ""Flask"", ""Pandas"", ""XGBoost"", ""HuggingFace"", ""AWS S3"", ""AWS Lambda""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""basico"", ""n_proyectos_produccion"": 7, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 2.1, ""tecnologias_requeridas"": [""Redis"", ""ChromaDB"", ""LlamaIndex"", ""Flask"", ""LangChain"", ""Docker""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": true, ""pide_ingles"": false, ""pide_llm_experience"": true, ""sector"": ""consultor\u00eda"", ""remoto"": true}"
0.0,0,1,4.2,0,1,0,0,0,1,1,0,7,4.9,35,"{""nivel"": ""mid"", ""anos_experiencia"": 4.9, ""stack"": [""Haystack"", ""PostgreSQL"", ""SQLAlchemy"", ""FastAPI"", ""Django"", ""TensorFlow""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": false, ""ingles_nivel"": ""nativo"", ""n_proyectos_produccion"": 7, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.7, ""tecnologias_requeridas"": [""Flask"", ""MongoDB"", ""LangGraph""], ""pide_cloud"": true, ""pide_docker"": false, ""pide_sql"": true, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""fintech"", ""remoto"": true}"
0.2,1,1,1.7,1,0,0,1,0,0,0,1,3,2.2,72,"{""nivel"": ""mid"", ""anos_experiencia"": 2.2, ""stack"": [""CrewAI"", ""Langfuse"", ""LangChain"", ""Kubernetes"", ""AWS S3""], ""tiene_cloud"": true, ""tiene_docker"": false, ""tiene_sql"": true, ""ingles_nivel"": ""intermedio"", ""n_proyectos_produccion"": 3, ""n_agentes_ia"": 5, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.5, ""tecnologias_requeridas"": [""SQLAlchemy"", ""Celery"", ""Flask"", ""CrewAI"", ""LangGraph""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""fintech"", ""remoto"": false}"
0.375,3,0,-0.4,1,0,1,0,0,0,1,0,5,2.5,72,"{""nivel"": ""mid"", ""anos_experiencia"": 2.5, ""stack"": [""pgvector"", ""LlamaIndex"", ""AutoGen"", ""Kubernetes"", ""SQLAlchemy"", ""HuggingFace"", ""XGBoost"", ""GCP BigQuery""], ""tiene_cloud"": true, ""tiene_docker"": true, ""tiene_sql"": false, ""ingles_nivel"": ""basico"", ""n_proyectos_produccion"": 5, ""n_agentes_ia"": 0, ""tiene_llm_experience"": false}","{""nivel_pedido"": ""mid"", ""anos_experiencia_min"": 2.9, ""tecnologias_requeridas"": [""Kubernetes"", ""Celery"", ""pgvector"", ""LangChain"", ""Docker"", ""AutoGen"", ""Langfuse"", ""ChromaDB""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": false, ""pide_llm_experience"": false, ""sector"": ""consultor\u00eda"", ""remoto"": false}"
0.2,1,1,2.2,0,1,1,0,0,0,1,1,3,2.8,72,"{""nivel"": ""mid"", ""anos_experiencia"": 2.8, ""stack"": [""RAG"", ""pgvector"", ""Langfuse"", ""Redis"", ""PostgreSQL"", ""MongoDB"", ""Docker"", ""Matplotlib"", ""HuggingFace""], ""tiene_cloud"": false, ""tiene_docker"": true, ""tiene_sql"": true, ""ingles_nivel"": ""avanzado"", ""n_proyectos_produccion"": 3, ""n_agentes_ia"": 0, ""tiene_llm_experience"": true}","{""nivel_pedido"": ""junior"", ""anos_experiencia_min"": 0.6, ""tecnologias_requeridas"": [""ChromaDB"", ""Celery"", ""RAG"", ""CrewAI"", ""Django""], ""pide_cloud"": true, ""pide_docker"": true, ""pide_sql"": false, ""pide_ingles"": true, ""pide_llm_experience"": true, ""sector"": ""fintech"", ""remoto"": false}"
